Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;2;3.A;1;2;1;19.06;-11.45;66.95;1.148
1;2;3.A;1;2;2;20.64;-14.12;70.88;0.975
1;2;3.A;1;2;3;21.67;-18.04;77.49;0.937
1;2;3.A;1;2;4;23.7;-21.91;84.56;0.925
1;2;3.A;1;2;5;27.51;-26.25;92.16;0.878
1;2;3.A;1;2;6;29.7;-35.55;104.85;0.675
1;2;3.A;1;2;7;34.23;-43.41;112.47;0.636
1;2;3.A;1;2;8;35.33;-49.97;120.41;0.575
1;2;3.A;1;2.5_1;1;33.26;-26.16;94.43;0.528
1;2;3.A;1;2.5_1;2;38.93;-29.98;95.82;0.484
1;2;3.A;1;2.5_1;3;44.01;-33.13;97.67;0.466
1;2;3.A;1;2.5_1;4;48.12;-36.54;99.01;0.438
1;2;3.A;1;2.5_1;5;52.71;-39.2;101.27;0.447
1;2;3.A;1;2.5_1;6;56.82;-44.55;104.16;0.457
1;2;3.A;1;2.5_1;7;59.4;-47.5;107.4;0.417
1;2;3.A;1;2.5_1;8;61.4;-51.44;109.59;0.411
1;2;3.A;1;2.6_1;1;29;-35.93;108.41;0.341
1;2;3.A;1;2.6_1;2;27.78;-37.52;110.96;0.309
1;2;3.A;1;2.6_1;3;26.65;-39.35;115.72;0.292
1;2;3.A;1;1.7_1;1;37.01;-43.91;114.77;0.362
1;2;3.A;1;1.7_1;2;38.15;-44.71;119.09;0.336
1;2;3.A;1;1.7_1.2_1;1;38.09;-44.29;119.73;0.666
1;2;3.A;1;1.7_1.2_1;2;37.99;-44.4;120.34;0.495
1;2;3.A;1;1.7_1.2_1;3;37.12;-44.34;122.01;0.275
1;2;3.A;1;1.8_1;1;34.33;-49.9;122.58;0.432
1;2;3.A;1;1.8_1;2;33.45;-51.39;125.81;0.411
1;2;3.A;1;1.8_1.2_1;1;33.8;-52.13;126.75;0.542
1;2;3.A;1;1.8_1.2_1;2;33.44;-53.08;129.43;0.375
1;2;4;0;0;0;30.19;-1.46;58.93;3.425
1;2;4.A.1;0;0;0;27.42;-3.32;63.6;3.576
1;2;4.A.1;1;0;0;27.59;-2.23;65.37;2.205
1;2;4.A.1;1;1;0;27.79;-1;66.24;1.355
1;2;4.A.1;1;1;1;27.93;0.06;68.2;1.07
1;2;4.A.1;1;1;2;30.66;3.32;71.57;0.914
1;2;4.A.1;1;1;3;34.16;8.21;75.88;0.876
1;2;4.A.1;1;1;4;39.53;13.31;78.97;0.816
1;2;4.A.1;1;1;5;44.36;18.85;81.86;0.795
1;2;4.A.1;1;1;6;52.23;26.1;83.56;0.737
1;2;4.A.1;1;1;7;57.62;32.83;86.4;0.646
1;2;4.A.1;1;1;8;64.62;38.46;86.65;0.622
1;2;4.A.1;1;1;9;70.11;46.85;89.22;0.471
1;2;4.A.1;1;1.7_1;1;58.42;34.37;88.42;0.425
1;2;4.A.1;1;1.7_1;2;58.84;35.8;91.12;0.405
1;2;4.A.1;1;1.7_1;3;58.63;37.04;96.08;0.363
1;2;4.A.1;1;1.7_1;4;58.02;38.24;100.71;0.355
1;2;4.A.1;1;1.8_1;1;66.56;39.06;87.43;0.473
1;2;4.A.1;1;1.8_1;2;68.02;40.56;88.41;0.439
1;2;4.A.1;1;1.8_1;3;71.15;41.52;92.38;0.311
1;2;4.A.1;1;1.9_1;1;70.03;47.55;89.12;0.724
1;2;4.A.1;1;1.9_1;2;69.83;48.62;89.47;0.609
1;2;4.A.1;1;1.9_1;3;69.56;51.02;91.77;0.478
1;2;4.A.1;1;1.9_1;4;69.38;55.16;96.23;0.374
1;2;4.A.1;1;2;0;29.43;-1.4;68.17;1.87
1;2;4.A.1;1;2;1;31.35;-1.87;69.69;1.178
1;2;4.A.1;1;2;2;34.7;-2.68;72.26;1.004
1;2;4.A.1;1;2;3;39.2;-5.27;75.84;1.005
1;2;4.A.1;1;2;4;45.69;-7.78;79.68;1.009
1;2;4.A.1;1;2;5;54.84;-12.08;83.83;0.925
1;2;4.A.1;1;2;6;63.66;-15.85;86.83;0.865
1;2;4.A.1;1;2;7;70.6;-21.35;88.47;0.784
1;2;4.A.1;1;2;8;80.7;-26.4;90.55;0.716
